"","titles","prices","years","transmissions","make.1","make.2"
"2186","Nissan Navara","1650000","2008 ","Automatic",Nissan,Navara
"2187","Mitsubishi Galant Fortis","950000","2007 ","Automatic",Mitsubishi,Galant Fortis
"2188","Nissan AD Wagon",NA,"2012 ","Automatic",Nissan,AD Wagon
"2189","Subaru  Impreza eyesight","1800000","2012 ","Automatic",Subaru, Impreza eyesight
"2190","Toyota wish","2320","2013 ","Tiptronic",Toyota,wish
"2191","Honda Civic Turbo","3500000","2016 ","Automatic",Honda,Civic Turbo
"2192","BMW X1","2990000","2011 ","Automatic",BMW,X1
"2193","Honda CIVIC","2250000","2013 ","Manual",Honda,CIVIC
"2194","Nissan Altima","2200000","2012 ","Automatic",Nissan,Altima
"2195","Nissan Sylphy","1390000","2012 ","Automatic",Nissan,Sylphy
"2196","Toyota Mark X Zio","2200000","2012 ","Automatic",Toyota,Mark X Zio
"2197","Toyota Corolla E111","590000","1999 ","Automatic",Toyota,Corolla E111
"2198","Land Rover Range Rover Sport","5690000","2012 ","Automatic",Land,Rover Range Rover Sport
"2199","Mazda Premacy","1750000","2013 ","Automatic",Mazda,Premacy
"2200","Suzuki Swift","795000","2009 ","Automatic",Suzuki,Swift
"2201","Toyota Axio (2wd)","2690000","2017 ","Automatic",Toyota,Axio (2wd)
"2202","Nissan Cube",NA,"2015 ","Automatic",Nissan,Cube
"2203","Honda Civic EK3","590000","1996 ","Automatic",Honda,Civic EK3
"2204","Nissan LATIO","1435000","2013 ","Automatic",Nissan,LATIO
"2205","Honda Stream",NA,"2003 ","Automatic",Honda,Stream
"2206","Honda Accord",NA,"2009 ","Automatic",Honda,Accord
"2207","Honda Stepwagon","2700000","2013 ","Automatic",Honda,Stepwagon
"2208","Toyota Voxy",NA,"2011 ","Automatic",Toyota,Voxy
"2209","Honda CIVIC","2350000","2014 ","Automatic",Honda,CIVIC
"2210","BMW X1","3050000","2012 ","Automatic",BMW,X1
"2211","Honda Fit","1799000","2015 ","Automatic",Honda,Fit
"2212","Hyundai Tucson","690000","2006 ","Automatic",Hyundai,Tucson
"2213","Subaru  G4","1900000","2013 ","Automatic",Subaru, G4
"2214","Toyota Mark X","2700000","2013 ","Automatic",Toyota,Mark X
"2215","Toyota MARK2","320000","1995 ","Automatic",Toyota,MARK2
"2216","Jaguar XF","7590000","2015 ","Automatic",Jaguar,XF
"2217","Honda Fit","1610000","2013 ","Automatic",Honda,Fit
"2218","Mitsubishi Lancer",NA,"2001 ","Automatic",Mitsubishi,Lancer
"2219","Toyota Fortuner","2650000","2010 ","Automatic",Toyota,Fortuner
"2220","Honda Stream","1200000","2006 ","Automatic",Honda,Stream
"2221","Toyota Yaris",NA,"2017 ","Automatic",Toyota,Yaris
"2222","Nissan LATIO","1550000","2013 ","Automatic",Nissan,LATIO
"2223","Toyota Belta",NA,"2012 ","Automatic",Toyota,Belta
"2224","Nissan AD VAN","980000","2013 ","Automatic",Nissan,AD VAN
"2225","Mazda Axela","1550000","2012 ","Automatic",Mazda,Axela
"2226","Mercedes-Benz C250","7850000","2015 ","Automatic",Mercedes-Benz,C250
"2227","Nissan PICK UP","580000","1997 ","Automatic",Nissan,PICK UP
"2228","Toyota Voxy X","2350000","2013 ","Tiptronic",Toyota,Voxy X
"2229","Ford F150","650000","2001 ","Automatic",Ford,F150
"2230","Mazda EX-C",NA,"2016 ","Automatic",Mazda,EX-C
"2231","Honda Fit Shuttle","1590000","2012 ","Automatic",Honda,Fit Shuttle
"2232","Toyota Mark 11 grande limited","490000","1992 ","Automatic",Toyota,Mark 11 grande limited
"2233","Ford Everest","3350000","2013 ","Automatic",Ford,Everest
"2234","Nissan Tiida",NA,"2012 ","Automatic",Nissan,Tiida
"2235","Nissan Lafesta","1590000","2012 ","Tiptronic",Nissan,Lafesta
"2236","Honda Civic Ex-T",NA,"2016 ","Automatic",Honda,Civic Ex-T
"2237","Nissan Bluebird","580000","2006 ","Automatic",Nissan,Bluebird
"2238","Nissan Note","1550000","2013 ","Automatic",Nissan,Note
"2239","Honda Fit",NA,"2015 ","Automatic",Honda,Fit
"2240","Nissan Sylphy",NA,"2013 ","Automatic",Nissan,Sylphy
"2241","Honda Fit","650000","2005 ","Automatic",Honda,Fit
"2242","Mazda Familia","899000","2012 ","Automatic",Mazda,Familia
"2243","Subaru  Impreza XV","2970000","2013 ","Automatic",Subaru, Impreza XV
"2244","Toyota tundra","1450000","2006 ","Automatic",Toyota,tundra
"2245","Toyota Camry Hybrid","2800000","2013 ","Automatic",Toyota,Camry Hybrid
"2246","Mitsubishi Canter","1790000","2003 ","Manual",Mitsubishi,Canter
"2247","Nissan Sunny ","620000","2004 ","Automatic",Nissan,Sunny 
"2248","Suzuki Swift","1610000","2014 ","Automatic",Suzuki,Swift
"2249","Toyota wish","1280000","2008 ","Automatic",Toyota,wish
"2250","Daihatsu mira","720000","2013 ","Automatic",Daihatsu,mira
"2251","Toyota Hiace",NA,"2011 ","Automatic",Toyota,Hiace
"2252","Toyota Fielder","1080000","2007 ","Automatic",Toyota,Fielder
"2253","Honda Stream","1890000","2011 ","Automatic",Honda,Stream
"2254","Toyota Mark X","2350000","2012 ","Automatic",Toyota,Mark X
"2255","Nissan AD Wagon",NA,"2008 ","Automatic",Nissan,AD Wagon
"2256","Toyota Corolla Kingfish","760000","2003 ","Automatic",Toyota,Corolla Kingfish
"2257","Nissan Wingroad","650000","2008 ","Automatic",Nissan,Wingroad
"2258","Honda Accord","2450000","2013 ","Automatic",Honda,Accord
"2259","Toyota Allion",NA,"2012 ","Automatic",Toyota,Allion
"2260","Toyota AXIO","1950000","2014 ","Automatic",Toyota,AXIO
"2261","Toyota  Premio","2550000","2014 ","Automatic",Toyota, Premio
"2262","Honda Civic Sport","3600000","2017 ","Automatic",Honda,Civic Sport
"2263","Toyota Land Cruiser","1100000","1999 ","Automatic",Toyota,Land Cruiser
"2264","Nissan Sunny B13","220000","1992 ","Automatic",Nissan,Sunny B13
"2265","Toyota Probox","1320000","2013 ","Automatic",Toyota,Probox
"2266","Toyota Fielder",NA,"2011 ","Automatic",Toyota,Fielder
"2267","Toyota Corolla","2150000","2014 ","Automatic",Toyota,Corolla
"2268","Honda Odyssey","880000","2004 ","Automatic",Honda,Odyssey
"2269","Honda Stream",NA,"2007 ","Automatic",Honda,Stream
"2270","Nissan Serena","1789000","2012 ","Automatic",Nissan,Serena
"2271","Suzuki ELF TRUCK","2300000","2006 ","Automatic",Suzuki,ELF TRUCK
"2272","Chevrolet Avalanche","1500000","2002 ","Automatic",Chevrolet,Avalanche
"2273","Mercedes-Benz E300","4300000","2012 ","Automatic",Mercedes-Benz,E300
"2274","Nissan Frontier","1380000","2006 ","Automatic",Nissan,Frontier
"2275","Nissan Tiida Latio","1180000","2012 ","Automatic",Nissan,Tiida Latio
"2276","Porsche CAYENNE","6300000","2012 ","Automatic",Porsche,CAYENNE
"2277","BMW 3Series","4e+06","2010 ","Automatic",BMW,3Series
"2278","Toyota wish","1970000","2011 ","Automatic",Toyota,wish
"2279","Toyota Vitz","1150000","2012 ","Automatic",Toyota,Vitz
"2280","Suzuki Swift","220000","1996 ","Automatic",Suzuki,Swift
"2281","Mitsubishi Canter","2300000","2000 ","Manual",Mitsubishi,Canter
"2282","Honda CR-V","1500000","2007 ","Automatic",Honda,CR-V
"2283","Hyundai Accent","250000","2001 ","Automatic",Hyundai,Accent
"2284","Toyota Allion",NA,"2012 ","Automatic",Toyota,Allion
"2285","Suzuki Grand Vitara","2300000","2012 ","Automatic",Suzuki,Grand Vitara
"2286","Nissan Caravan","1749000","2012 ","Automatic",Nissan,Caravan
"2287","Toyota Voxy",NA,"2011 ","Automatic",Toyota,Voxy
"2288","Toyota picnic","950000","2004 ","Automatic",Toyota,picnic
"2289","Toyota AXIO","2350000","2015 ","Automatic",Toyota,AXIO
"2290","Mazda Demio","395000","2002 ","Automatic",Mazda,Demio
"2291","Nissan AD Wagon","950000","2012 ","Automatic",Nissan,AD Wagon
"2292","BMW 318d","1200000","2007 ","Manual",BMW,318d
"2293","Toyota kingfish","7e+05","2001 ","Automatic",Toyota,kingfish
"2294","Toyota Probox",NA,"2014 ","Automatic",Toyota,Probox
"2295","Toyota Probox","1190000","2012 ","Automatic",Toyota,Probox
"2296","Suzuki Swift","1590000","2014 ","Automatic",Suzuki,Swift
"2297","Toyota TownAce","1450000","2011 ","Automatic",Toyota,TownAce
"2298","Nissan Sunny B15",NA,"2004 ","Automatic",Nissan,Sunny B15
"2299","Honda Fit","980000","2009 ","Automatic",Honda,Fit
"2300","Nissan tida","1180000","2012 ","Automatic",Nissan,tida
"2301","Toyota Fielder","1890000","2013 ","Automatic",Toyota,Fielder
"2302","Nissan Sunny ","650000","2007 ","Automatic",Nissan,Sunny 
"2303","Honda Accord EXL coupe","2500000","2013 ","Automatic",Honda,Accord EXL coupe
"2304","Honda Stream","1470000","2010 ","Automatic",Honda,Stream
"2305","Honda Accord Sport","3400000","2016 ","Manual",Honda,Accord Sport
"2306","Toyota Toyoace","1900000","1999 ","Manual",Toyota,Toyoace
"2307","Toyota Corolla E111",NA," ","Automatic",Toyota,Corolla E111
"2308","Toyota AXIO","1800000","2012 ","Automatic",Toyota,AXIO
"2309","Nissan Sunny B15","5e+05","2001 ","Automatic",Nissan,Sunny B15
"2310","Toyota Passo","950000","2011 ","Automatic",Toyota,Passo
"2311","Toyota Fielder","1770000","2012 ","Automatic",Toyota,Fielder
"2312","Toyota Noah","2500000","2010 ","Automatic",Toyota,Noah
"2313","Nissan X Trail","3800000","2015 ","Automatic",Nissan,X Trail
"2314","Toyota Tacoma",NA,"2014 ","Automatic",Toyota,Tacoma
"2315","Toyota Belta","1470000","2012 ","Automatic",Toyota,Belta
"2316","Toyota Crown Royal Saloon ",NA,"2013 ","Tiptronic",Toyota,Crown Royal Saloon 
"2317","Toyota Passo","850000","2011 ","Automatic",Toyota,Passo
"2318","Toyota Voxy",NA,"2012 ","Automatic",Toyota,Voxy
"2319","Ford Focus","1690000","2012 ","Tiptronic",Ford,Focus
"2320","Toyota Tacoma","4300000","2014 ","Automatic",Toyota,Tacoma
"2321","Nissan Tiida","930000","2010 ","Automatic",Nissan,Tiida
"2322","Honda Accord","620000","2001 ","Automatic",Honda,Accord
"2323","Toyota Hiace Hightop Bus","2950000","2013 ","Automatic",Toyota,Hiace Hightop Bus
"2324","Toyota Mark X","3200000","2014 ","Automatic",Toyota,Mark X
"2325","Honda Stream","2390000","2012 ","Automatic",Honda,Stream
"2326","Subaru  exiga","1750000","2011 ","Automatic",Subaru, exiga
"2327","Toyota Mark X",NA,"2011 ","Automatic",Toyota,Mark X
"2328","Honda Accord","1800000","2009 ","Automatic",Honda,Accord
"2329","Toyota Vitz","860000","2009 ","Automatic",Toyota,Vitz
"2330","Suzuki Swift",NA,"2013 ","Automatic",Suzuki,Swift
"2331","Mazda Bongo","850000","2009 ","Automatic",Mazda,Bongo
"2332","Toyota Allion","2e+06","2012 ","Automatic",Toyota,Allion
"2333","Toyota Allion","2395000","2013 ","Automatic",Toyota,Allion
"2334","Honda Inspirer","2900000","2012 ","Automatic",Honda,Inspirer
"2335","Toyota Prado","1290000","2003 ","Automatic",Toyota,Prado
"2336","Nissan Sunny ","650000","2005 ","Automatic",Nissan,Sunny 
"2337","Toyota Fielder",NA,"2012 ","Automatic",Toyota,Fielder
"2338","Subaru  IMPREZA SPORT STI",NA,"2013 ","Automatic",Subaru, IMPREZA SPORT STI
"2339","Toyota Corsa","340000","1997 ","Automatic",Toyota,Corsa
"2340","Mazda Premacy","950000","2007 ","Automatic",Mazda,Premacy
"2341","Isuzu ELF","2100000","2004 ","Tiptronic",Isuzu,ELF
"2342","Nissan AD Expert",NA,"2012 ","Automatic",Nissan,AD Expert
"2343","Toyota Axio (2wd)","1820000","2012 ","Automatic",Toyota,Axio (2wd)
"2344","Subaru  Impreza (G4)",NA,"2013 ","Automatic",Subaru, Impreza (G4)
"2345","Toyota Probox","7e+05","2005 ","Automatic",Toyota,Probox
"2346","Nissan LATIO","1700000","2014 ","Automatic",Nissan,LATIO
"2347","Toyota Fielder","1150000","2008 ","Automatic",Toyota,Fielder
"2348","Chrysler 300","1400000","2005 ","Automatic",Chrysler,300
"2349","Honda Civic Type R","2550000","2008 ","Manual",Honda,Civic Type R
"2350","Subaru  WRX","5800000","2014 ","Automatic",Subaru, WRX
"2351","Honda CR-V","1700000","2007 ","Automatic",Honda,CR-V
"2352","Honda Fit","1180000","2013 ","Automatic",Honda,Fit
"2353","Honda CIVIC","1800000","2012 ","Automatic",Honda,CIVIC
"2354","Toyota Vitz","1700000","2014 ","Automatic",Toyota,Vitz
"2355","Subaru  Impreza (G4)",NA,"2013 ","Automatic",Subaru, Impreza (G4)
"2356","Nissan Note","680000","2010 ","Automatic",Nissan,Note
"2357","Honda CR-V","1650000","2007 ","Automatic",Honda,CR-V
"2358","Toyota Vitz",NA,"2008 ","Automatic",Toyota,Vitz
"2359","Mitsubishi Galant",NA,"1995 ","Automatic",Mitsubishi,Galant
"2360","Nissan Sylphy","1020000","2008 ","Automatic",Nissan,Sylphy
"2361","Mazda Premacy","1800000","2012 ","Automatic",Mazda,Premacy
"2362","Mercedes-Benz C250","5800000","2015 ","Tiptronic",Mercedes-Benz,C250
"2363","Toyota Isis",NA,"2012 ","Automatic",Toyota,Isis
"2364","Mitsubishi RVR","2300000","2012 ","Automatic",Mitsubishi,RVR
"2365","Nissan Sunny B15","590000","2004 ","Automatic",Nissan,Sunny B15
"2366","Mazda Axela","1690000","2013 ","Automatic",Mazda,Axela
"2367","Subaru  Legacy","1900000","2011 ","Automatic",Subaru, Legacy
"2368","Nissan AD Wagon",NA,"2013 ","Automatic",Nissan,AD Wagon
"2369","Nissan Bluebird Sylphy",NA,"2011 ","Automatic",Nissan,Bluebird Sylphy
"2370","Mitsubishi Lancer","2100000","2005 ","Manual",Mitsubishi,Lancer
"2371","Toyota Corolla E110","490000","1995 ","Automatic",Toyota,Corolla E110
"2372","Nissan Tiida Latio","1300000","2012 ","Automatic",Nissan,Tiida Latio
"2373","Honda Fit","1580000","2013 ","Automatic",Honda,Fit
"2374","Toyota Mark 2","4e+05","1993 ","Automatic",Toyota,Mark 2
"2375","Honda Fit","1430000","2012 ","Automatic",Honda,Fit
"2376","Toyota AD Wagon",NA,"2012 ","Automatic",Toyota,AD Wagon
"2377","Toyota AXIO","1850000","2012 ","Automatic",Toyota,AXIO
"2378","Nissan Elgrand","2350000","2011 ","Automatic",Nissan,Elgrand
"2379","Toyota Noah","1300000","2006 ","Automatic",Toyota,Noah
"2380","Mitsubishi Lancer","550000","2005 ","Automatic",Mitsubishi,Lancer
"2381","Nissan Tiida",NA,"2011 ","Automatic",Nissan,Tiida
"2382","Honda Fit","490000","2002 ","Automatic",Honda,Fit
"2383","Subaru  legacy turbo",NA,"2012 ","Automatic",Subaru, legacy turbo
"2384","Subaru  Legacy GT","2650000","2012 ","Automatic",Subaru, Legacy GT
"2385","Honda Fit","1580000","2013 ","Automatic",Honda,Fit
"2386","Nissan Elgrand","2800000","2010 ","Automatic",Nissan,Elgrand
"2387","Volkswagen Jetta TSI","2900000","2015 ","Tiptronic",Volkswagen,Jetta TSI
"2388","Honda CIVIC","930000","2008 ","Automatic",Honda,CIVIC
"2389","Nissan Wingroad","1050000","2011 ","Automatic",Nissan,Wingroad
"2390","Honda CR-V","3650000","2015 ","Automatic",Honda,CR-V
"2391","BMW X6","8e+06","2013 ","Automatic",BMW,X6
"2392","Honda Accord",NA,"2003 ","Automatic",Honda,Accord
"2393","Nissan Frontier","4200000","2017 ","Automatic",Nissan,Frontier
"2394","Mitsubishi Colt","9e+05","2012 ","Automatic",Mitsubishi,Colt
"2395","Volkswagen Jetta","2e+06","2014 ","Tiptronic",Volkswagen,Jetta
"2396","Nissan Bluebird Sylphy","970000","2007 ","Automatic",Nissan,Bluebird Sylphy
"2397","Honda Accord","580000","1998 ","Automatic",Honda,Accord
"2398","Toyota Corolla E111","650000","1997 ","Manual",Toyota,Corolla E111
"2399","Toyota AXIO","2450000","2015 ","Automatic",Toyota,AXIO
"2400","Honda Fit","1300000","2013 ","Automatic",Honda,Fit
"2401","Honda Civic LX","1e+06","2006 ","Automatic",Honda,Civic LX
"2402","Honda Fit","1290000","2011 ","Automatic",Honda,Fit
"2403","Toyota VOXY XL-Edition","2299999","2011 ","Automatic",Toyota,VOXY XL-Edition
"2404","Suzuki Swift","2700000","2017 ","",Suzuki,Swift
"2405","Subaru  impreza","1650000","2012 ","Automatic",Subaru, impreza
"2406","Mitsubishi Lancer","580000","2006 ","Automatic",Mitsubishi,Lancer
"2407","Honda ACCORD CL7","1350000","2006 ","Tiptronic",Honda,ACCORD CL7
"2408","Toyota MARK X (PREMIUM 250G)","2450000","2011 ","Automatic",Toyota,MARK X (PREMIUM 250G)
"2409","Honda CIVIC","7e+05","2002 ","Automatic",Honda,CIVIC
"2410","Subaru  STi","3300000","2012 ","Automatic",Subaru, STi
"2411","Suzuki Grand Vitara","1870000","2012 ","Automatic",Suzuki,Grand Vitara
"2412","Honda CR-V","650000","1998 ","Automatic",Honda,CR-V
"2413","Suzuki Swift","665000","2005 ","Automatic",Suzuki,Swift
"2414","Honda Stream","7e+05","2001 ","Automatic",Honda,Stream
"2415","Nissan Frontier","950000","2005 ","Manual",Nissan,Frontier
"2416","Ford Mustang","2950000","2012 ","Manual",Ford,Mustang
"2417","Nissan Note","1300000","2014 ","Automatic",Nissan,Note
"2418","Nissan Wingroad",NA,"2013 ","Automatic",Nissan,Wingroad
"2419","Nissan Teana","2250000","2013 ","Automatic",Nissan,Teana
"2420","Suzuki Vitara",NA,"2016 ","Automatic",Suzuki,Vitara
"2421","Nissan march","765000","2012 ","Automatic",Nissan,march
"2422","Toyota Vitz",NA,"2012 ","Automatic",Toyota,Vitz
"2423","Toyota Corolla 100 Police Shape","450000","1995 ","Automatic",Toyota,Corolla 100 Police Shape
"2424","Honda Fit","1550000","2012 ","Automatic",Honda,Fit
"2425","Nissan Note","1499000","2014 ","Automatic",Nissan,Note
"2426","Toyota AXIO","1799000","2012 ","Automatic",Toyota,AXIO
"2427","Nissan 370Z","3900000"," ","Manual",Nissan,370Z
"2428","Honda Stepwagon","2200000","2012 ","Automatic",Honda,Stepwagon
"2429","Toyota  Premio",NA,"2014 ","Automatic",Toyota, Premio
"2430","Nissan march","790000","2011 ","Automatic",Nissan,march
"2431","Nissan Tiida Latio","1490000","2013 ","Automatic",Nissan,Tiida Latio
"2432","Suzuki SX4","1170000","2012 ","Automatic",Suzuki,SX4
"2433","Nissan Sunny ","290000","1996 ","Automatic",Nissan,Sunny 
"2434","BMW 325i","3199999","2012 ","Tiptronic",BMW,325i
"2435","Subaru  impreza","1850000","2014 ","Automatic",Subaru, impreza
"2436","Suzuki Alto","650000","2010 ","Automatic",Suzuki,Alto
"2437","Honda Fit","1490000","2013 ","Automatic",Honda,Fit
"2438","Toyota GT86","2700000","2012 ","Automatic",Toyota,GT86
"2439","BMW 320i","1900000","2009 ","Automatic",BMW,320i
"2440","Toyota Voxy",NA,"2012 ","Automatic",Toyota,Voxy
"2441","Toyota Noah",NA,"2012 ","Automatic",Toyota,Noah
"2442","Toyota Estima","2199000","2011 ","Automatic",Toyota,Estima
"2443","Honda CR-V","985000","2003 ","Automatic",Honda,CR-V
"2444","Nissan Cube",NA,"2012 ","Automatic",Nissan,Cube
"2445","Toyota Corolla S","2700000","2015 ","Automatic",Toyota,Corolla S
"2446","Toyota Axio (2wd)","2440000","2015 ","Automatic",Toyota,Axio (2wd)
"2447","Lexus IS250","1900000","2008 ","",Lexus,IS250
"2448","Isuzu ELF","2250000","2005 ","Manual",Isuzu,ELF
"2449","Nissan LATIO","1560000","2013 ","Automatic",Nissan,LATIO
"2450","Toyota Mark 2 grande","3e+05","1993 ","Automatic",Toyota,Mark 2 grande
"2451","BMW 320i",NA,"2010 ","Tiptronic",BMW,320i
"2452","Mazda Demio","1550000","2014 ","Automatic",Mazda,Demio
"2453","Ford E-450 Box Body",NA,"2004 ","Automatic",Ford,E-450 Box Body
"2454","Toyota Isis Platana",NA,"2012 ","Automatic",Toyota,Isis Platana
"2455","Honda Ridgeline","1750000","2007 ","Automatic",Honda,Ridgeline
"2456","Mazda Demio","1149000","2012 ","Automatic",Mazda,Demio
"2457","Honda CIVIC","3200000","2017 ","Automatic",Honda,CIVIC
"2458","Toyota AXIO","2250000","2014 ","Automatic",Toyota,AXIO
"2459","Subaru  impreza",NA,"2013 ","Automatic",Subaru, impreza
"2460","Nissan Caravan","899000","2007 ","Automatic",Nissan,Caravan
"2461","Nissan Note","1320000","2013 ","Automatic",Nissan,Note
"2462","Mitsubishi Galant","390000","2003 ","Automatic",Mitsubishi,Galant
"2463","Toyota wish","1850000","2011 ","Automatic",Toyota,wish
"2464","Toyota Isis Platana","1400000","2010 ","Automatic",Toyota,Isis Platana
"2465","BMW X1","2900000","2012 ","Tiptronic",BMW,X1
"2466","Nissan LATIO","1590000","2013 ","Automatic",Nissan,LATIO
"2467","Nissan AD Wagon","1100000","2013 ","Automatic",Nissan,AD Wagon
"2468","Toyota Fielder",NA,"2010 ","Automatic",Toyota,Fielder
"2469","Honda Fit","1900000","2015 ","Automatic",Honda,Fit
"2470","Nissan Navara","2950000","2012 ","Manual",Nissan,Navara
"2471","Nissan Tiida","8e+05","2007 ","Automatic",Nissan,Tiida
"2472","Nissan Sunny ","570000","2003 ","Automatic",Nissan,Sunny 
"2473","Toyota Premio","750000","2003 ","Automatic",Toyota,Premio
"2474","Toyota Noah","2350000","2012 ","Automatic",Toyota,Noah
"2475","Toyota wish","2100000","2012 ","Automatic",Toyota,wish
"2476","Mitsubishi ASX",NA,"2012 ","Automatic",Mitsubishi,ASX
"2477","Toyota Corolla Fielder ","1300000","2010 ","Automatic",Toyota,Corolla Fielder 
"2478","Honda Fit Shuttle","1499000","2012 ","Automatic",Honda,Fit Shuttle
"2479","Suzuki Swift","1590000","2015 ","Automatic",Suzuki,Swift
"2480","Toyota Altis","1050000","2006 ","Automatic",Toyota,Altis
"2481","Honda Insight",NA," ","Automatic",Honda,Insight
"2482","Land Rover Range Rover","3640000","2006 ","Automatic",Land,Rover Range Rover
"2483","Honda Inspire","1850000","2010 ","Automatic",Honda,Inspire
"2484","Honda Fit 2012","1400000","2012 ","Automatic",Honda,Fit 2012
"2485","Toyota Fielder","2300000","2014 ","Automatic",Toyota,Fielder
"2486","Toyota Corolla Fielder ","1400000","2010 ","Automatic",Toyota,Corolla Fielder 
"2487","Toyota Camry","2e+06","2011 ","Automatic",Toyota,Camry
"2488","Mitsubishi Galant Fortis","9e+05","2008 ","Tiptronic",Mitsubishi,Galant Fortis
"2489","Toyota Vitz",NA,"2012 ","Automatic",Toyota,Vitz
"2490","Honda Fit","1650000","2013 ","Automatic",Honda,Fit
"2491","Toyota Probox","1250000","2010 ","Automatic",Toyota,Probox
"2492","Honda CR-V","2500000","2011 ","Automatic",Honda,CR-V
"2493","Subaru  impreza",NA,"2015 ","Automatic",Subaru, impreza
"2494","Toyota Corolla Axio NEW SHAPE","2400000","2016 ","Automatic",Toyota,Corolla Axio NEW SHAPE
"2495","Mazda Bongo","1280000","2013 ","Automatic",Mazda,Bongo
"2496","Mitsubishi Space Waggon","1100000","2008 ","Automatic",Mitsubishi,Space Waggon
"2497","Honda Civic Ef","220000"," ","Manual",Honda,Civic Ef
"2498","Honda CIVIC","850000","2003 ","Automatic",Honda,CIVIC
"2499","Daihatsu mira","650000","2012 ","Automatic",Daihatsu,mira
"2500","Honda Accord",NA,"2017 ","Automatic",Honda,Accord
"2501","Mitsubishi Lancer",NA," ","Automatic",Mitsubishi,Lancer
"2502","Nissan AD Wagon",NA,"2012 ","Automatic",Nissan,AD Wagon
"2503","Toyota Axio (2wd)","2190000","2014 ","Automatic",Toyota,Axio (2wd)
"2504","Toyota Mark X","1280000","2008 ","Automatic",Toyota,Mark X
"2505","Toyota AXIO",NA,"2014 ","Automatic",Toyota,AXIO
"2506","Honda CR-V","4250000","2015 ","Automatic",Honda,CR-V
"2507","Toyota wish","2200000","2011 ","Automatic",Toyota,wish
"2508","Toyota Yaris","2650000","2016 ","Automatic",Toyota,Yaris
"2509","Toyota Mark X","1530000","2009 ","Automatic",Toyota,Mark X
"2510","Toyota Hiace","2300000","2010 ","Automatic",Toyota,Hiace
"2511","Toyota Corolla Axio",NA,"2007 ","Automatic",Toyota,Corolla Axio
"2512","Mazda Premacy","1490000","2011 ","Automatic",Mazda,Premacy
"2513","Daihatsu mira","6e+05","2010 ","Automatic",Daihatsu,mira
"2514","Nissan AD Wagon","950000","2011 ","Automatic",Nissan,AD Wagon
"2515","Toyota Corolla E111","590000","1999 ","Automatic",Toyota,Corolla E111
"2516","Toyota Probox",NA,"2013 ","Automatic",Toyota,Probox
"2517","Suzuki Grand Vitara","1900000","2012 ","Automatic",Suzuki,Grand Vitara
"2518","Honda CR-V",NA,"2007 ","Automatic",Honda,CR-V
"2519","Toyota Kingfish-Luxel","1150000","2004 ","Automatic",Toyota,Kingfish-Luxel
"2520","Toyota Fielder",NA,"2013 ","Manual",Toyota,Fielder
"2521","Mazda Demio","1399000","2013 ","Automatic",Mazda,Demio
"2522","Toyota Rav4",NA,"2000 ","Automatic",Toyota,Rav4
"2523","Toyota wish","2050000","2012 ","Automatic",Toyota,wish
"2524","Toyota Rav-4 L","2900000","2016 ","Automatic",Toyota,Rav-4 L
"2525","BMW 520i","3850000","2013 ","Automatic",BMW,520i
"2526","Toyota AXIO","1200000","2010 ","Automatic",Toyota,AXIO
"2527","BMW X5","2950000","2008 ","Automatic",BMW,X5
"2528","Toyota Mark 11 G","290000","1992 ","Automatic",Toyota,Mark 11 G
"2529","Suzuki Swift Sport","1750000","2012 ","Automatic",Suzuki,Swift Sport
"2530","Toyota Yaris","1100000","2010 ","Automatic",Toyota,Yaris
"2531","Nissan Tiida Latio","1330000","2012 ","Automatic",Nissan,Tiida Latio
"2532","Honda CR-V","3250000","2013 ","Automatic",Honda,CR-V
"2533","Volvo 740","370000","1991 ","Automatic",Volvo,740
"2534","Ford Fusion","2800000","2013 ","Automatic",Ford,Fusion
"2535","Suzuki SX4",NA," ","Automatic",Suzuki,SX4
"2536","Nissan Sunny B15",NA,"2002 ","Automatic",Nissan,Sunny B15
"2537","Toyota Allion","2950000","2015 ","Automatic",Toyota,Allion
"2538","Toyota Rav 4","2900000","2013 ","Automatic",Toyota,Rav 4
"2539","Toyota Mark X",NA,"2013 ","Automatic",Toyota,Mark X
"2540","Honda Accord","2700000","2013 ","Automatic",Honda,Accord
"2541","Mitsubishi Lancer","450000","1999 ","Automatic",Mitsubishi,Lancer
"2542","Hino box body Truck","5500000","2004 ","Manual",Hino,box body Truck
"2543","Nissan Tiida",NA,"2011 ","Automatic",Nissan,Tiida
"2544","Toyota Hiace","2700000","2010 ","Automatic",Toyota,Hiace
"2545","Nissan Tiida","990000","2010 ","Automatic",Nissan,Tiida
"2546","Toyota Crown","3990000","2013 ","Tiptronic",Toyota,Crown
"2547","Toyota RAV4",NA,"2000 ","Automatic",Toyota,RAV4
"2548","Nissan Tiida",NA,"2007 ","Automatic",Nissan,Tiida
"2549","Mazda Demio","1e+06","2011 ","Automatic",Mazda,Demio
"2550","Toyota AXIO",NA,"2015 ","Automatic",Toyota,AXIO
"2551","Leyland Daf","890000","1996 ","Manual",Leyland,Daf
"2552","Toyota Vitz","1150000","2012 ","Automatic",Toyota,Vitz
"2553","Toyota Corolla Kingfish","820000","2003 ","Automatic",Toyota,Corolla Kingfish
"2554","Subaru  impreza","1850000","2012 ","Automatic",Subaru, impreza
"2555","Honda Stream",NA,"2011 ","Automatic",Honda,Stream
