"","titles","prices","years","transmissions","make.1","make.2"
"123","Honda Fit","1980000","2015 ","Automatic",Honda,Fit
"124","Mazda Premacy",NA,"2015 ","Automatic",Mazda,Premacy
"125","Toyota Voxy",NA,"2012 ","Automatic",Toyota,Voxy
"126","Honda CR-V","920000","2002 ","Automatic",Honda,CR-V
"127","Toyota Yaris","1100000","2010 ","Automatic",Toyota,Yaris
"128","Mitsubishi Galant Fortis","1550000","2012 ","Automatic",Mitsubishi,Galant Fortis
"129","Toyota Vitz",NA,"2014 ","Automatic",Toyota,Vitz
"130","Toyota wish","1650000","2010 ","Automatic",Toyota,wish
"131","Honda CIVIC","1250000","2008 ","Automatic",Honda,CIVIC
"132","Honda Elysion","2290000","2011 ","Automatic",Honda,Elysion
"133","Toyota AXIO","1900000","2013 ","Automatic",Toyota,AXIO
"134","Nissan Tiida",NA,"2012 ","Automatic",Nissan,Tiida
"135","Suzuki Grand Vitara","9e+05","2006 ","Automatic",Suzuki,Grand Vitara
"136","Toyota Vitz",NA," ","Automatic",Toyota,Vitz
"137","Suzuki Grand Vitara","1750000","2011 ","Automatic",Suzuki,Grand Vitara
"138","Nissan Tiida","870000","2010 ","Automatic",Nissan,Tiida
"139","Toyota Succeed","1600000","2015 ","Automatic",Toyota,Succeed
"140","Honda Accord",NA,"2017 ","Automatic",Honda,Accord
"141","Toyota Vitz","1350000","2013 ","Automatic",Toyota,Vitz
"142","Toyota AXIO","1200000","2009 ","Automatic",Toyota,AXIO
"143","Toyota MARK II BLIT IRV ( TURBO)","750000","2004 ","Automatic",Toyota,MARK II BLIT IRV ( TURBO)
"144","Toyota aqua","1390000","2012 ","Automatic",Toyota,aqua
"145","Honda Fit","1980000","2014 ","Automatic",Honda,Fit
"146","Toyota Isis Platana",NA,"2009 ","Automatic",Toyota,Isis Platana
"147","Toyota wish","1900000","2012 ","Automatic",Toyota,wish
"148","Toyota wish",NA,"2012 ","Automatic",Toyota,wish
"149","Nissan Note",NA," ","Automatic",Nissan,Note
"150","Mazda Demio","850000","2011 ","Automatic",Mazda,Demio
"151","Honda CIVIC","2800000","2016 ","Automatic",Honda,CIVIC
